authorId,author,aliases,projectSerialNum,doi
2116352655,Guo W,,DK130067,doi:10.1177/09622802221122391
2116352655,Guo W,,DK130067,doi:10.1111/biom.13593
2698445,Guo W,,DK130067,doi:10.1080/01621459.2021.2023552
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.3390/v13091803
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.3390/v13010074
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1186/s12879-021-06526-5
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1128/mra.00681-22
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1128/mra.00680-22
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1128/mra.00337-22
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1128/mra.00069-23
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1101/2022.09.25.22280344
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1111/irv.13057
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1101/2021.01.22.21250320
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1080/22221751.2022.2071173
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1016/j.watres.2021.117710
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1016/j.scitotenv.2023.166230
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1016/j.meegid.2022.105315
3520617,Halden R,"Rolf Halden, R Halden, R U Halden, Rolf U Halden, Rolf U Halden, R Halden",LM013129,doi:10.1016/S2666-5247(22)00289-0
2151306338,Hayes J,"John E Hayes, John Hayes, John E Hayes, J E Hayes, J E Hayes, Je Hayes",DC019573,doi:10.1016/j.foodqual.2021.104483
2151306338,Hayes J,"John E Hayes, John Hayes, John E Hayes, J E Hayes, J E Hayes, Je Hayes",DC019573,doi:10.1016/j.physbeh.2023.114331
2151306338,Hayes J,"John E Hayes, John Hayes, John E Hayes, J E Hayes, J E Hayes, Je Hayes",DC019573,doi:10.1093/chemse/bjac036
2151306338,Hayes J,"John E Hayes, John Hayes, John E Hayes, J E Hayes, J E Hayes, Je Hayes",DC019573,doi:10.1093/chemse/bjad020
2151306338,Hayes J,"John E Hayes, John Hayes, John E Hayes, J E Hayes, J E Hayes, Je Hayes",DC019573,doi:10.1101/2023.03.27.23287763
48248516,Hicks S,"Steven Hicks, Steven D Hicks, S Hicks, Steve Hicks, S D Hicks, Steven D Hicks, Steven Daniel Hicks, S Hicks",HD105610,doi:10.3390/genes13101874
48248516,Hicks S,"Steven Hicks, Steven D Hicks, S Hicks, Steve Hicks, S D Hicks, Steven D Hicks, Steven Daniel Hicks, S Hicks",HD105610,doi:10.1177/00099228231152840
48248516,Hicks S,"Steven Hicks, Steven D Hicks, S Hicks, Steve Hicks, S D Hicks, Steven D Hicks, Steven Daniel Hicks, S Hicks",HD105610,doi:10.1038/s41390-022-02206-5
40168874,Horton D,"Daniel B Horton, Danielle Horton, Daniel Horton, Daniel B Horton, D B Horton",HD105619,doi:10.1176/appi.ps.20220314
40168874,Horton D,"Daniel B Horton, Danielle Horton, Daniel Horton, Daniel B Horton, D B Horton",HD105619,doi:10.1093/infdis/jiab411
40168874,Horton D,"Daniel B Horton, Danielle Horton, Daniel Horton, Daniel B Horton, D B Horton",HD105619,doi:10.1097/RHU.0000000000002035
46976008,Horton DB,"D B Horton, Daniel B Horton, Daniel B Horton",HD105619,doi:10.1016/j.jim.2021.113165
46976008,Horton DB,"D B Horton, Daniel B Horton, Daniel B Horton",HD105619,doi:10.1016/j.ebiom.2023.104731
2238942807,Horton DB,,HD105619,doi:10.1002/pds.5695
2107503492,Johnson ATC,"A T Charlie Johnson, A T Charlie Johnson, Alan T Charlie Johnson, Alan T Charlie Johnson",TR003775,doi:10.3390/diagnostics13040707
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.chemmater.1c03871
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1039/d3an00873h
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acssensors.1c00518
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsnano.3c04259
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsnano.2c03219
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsnano.1c11643
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsami.3c09627
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsami.3c00862
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsami.2c17531
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acsami.1c11620
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1002/anie.202112995
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1002/anie.202113617
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.nanolett.2c03052
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.analchem.1c02399
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.analchem.2c02381
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.langmuir.2c02219
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.analchem.2c04988
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1021/acs.jpcb.3c02099
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1002/anie.202214394
5530342,Jokerst J,"Jv Jokerst, Jesse V Jokerst, Jesse V Jokerst, Jesse Jokerst, J V Jokerst, Jesse Vincent Jokerst",DE031114,doi:10.1039/d2sc05837e
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1038/s43856-022-00221-5
37846554,Kenyon N,"N J Kenyon, N Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon",TR003795,doi:10.3390/mi13111892
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1093/infdis/jiab205
34791938,Kenyon N,"Nicholas J Kenyon, N J Kenyon, Nick Kenyon, Nicholas Kenyon, Nicholas J Kenyon",TR003795,doi:10.1088/1752-7163/acea3d
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1088/1752-7163/ac6c9f
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1088/1752-7163/ac3f24
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1088/1752-7163/ac1a61
11425187,Kenyon N,"N J Kenyon, Nicholas J Kenyon, N J Kenyon, N Kenyon, Nicholas Kenyon, Nicholas J Kenyon, Nj Kenyon",TR003795,doi:10.1039/d2ay00723a
33785652,Kleinman L,"L C Kleinman, Lawrence Kleinman, Lawrence C Kleinman, L Kleinman, L Kleinman, Lawrence C Kleinman, L C Kleinman, Lawrence Charles Kleinman",HD105619,doi:10.1542/peds.2020-045948G
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.3389/fneph.2022.926635
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1016/j.xkme.2021.02.010
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1681/ASN.2021060812
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1681/ASN.2021020161
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1681/ASN.2020121691
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1111/hdi.12977
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1016/j.cmi.2021.04.007
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1101/2021.02.20.21251855
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1186/s12882-021-02518-4
2951771,Kotanko P,"P Kotanko, P Kotanko, Peter Kotanko, Petere Kotanko",DK130067,doi:10.1093/ckj/sfab019
2057547765,Lawrence D,"David Lawrence, David A Lawrence, D A Lawrence, D A Lawrence, David A Lawrence",HD105613,doi:10.3389/fbioe.2023.1066391
2107411054,Lee L,"Ly James Lee, Ljames Lee, L James Lee, L James Lee, L J Lee",TR003807,doi:10.1039/d1lc01053k
4407725,Lynes M,"M Lynes, M A Lynes, Michael A Lynes, Michael Lynes, Michael A Lynes, M Lynes, M A Lynes",HD105613,doi:10.3389/fbioe.2023.1066391
6543527,Manlhiot C,"C Manlhiot, C Manlhiot, Cedric Manlhiot",HD105591,doi:10.1056/NEJMc2215074
6543527,Manlhiot C,"C Manlhiot, C Manlhiot, Cedric Manlhiot",HD105591,doi:10.1016/j.cjca.2023.06.001
2959056,Mason C,"Christopher E Mason, C E Mason, Christopher E Mason, C E Mason, Christopher Mason, Chris Mason",DA053941,doi:10.1186/s40168-021-01044-7
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1016/j.scitotenv.2021.149177
2959056,Mason C,"Christopher E Mason, C E Mason, Christopher E Mason, C E Mason, Christopher Mason, Chris Mason",DA053941,doi:10.1016/j.cell.2021.05.002
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1016/j.scitotenv.2023.165459
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1101/2023.07.12.23292570
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1016/j.scitotenv.2022.159188
2082443601,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1038/s41592-022-01444-z
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1021/acsestwater.2c00047
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1038/s41587-021-01158-1
2959056,Mason C,"Christopher E Mason, C E Mason, Christopher E Mason, C E Mason, Christopher Mason, Chris Mason",DA053941,doi:10.1038/s41587-021-01049-5
2082443601,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1038/s41467-023-38400-0
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1038/s41467-022-31654-0
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.1021/acsestwater.2c00045
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.1016/j.scitotenv.2023.164289
2143229837,Mason C,"Christopher E Mason, C Mason, C E Mason, Christopher E Mason, Christopher Mason",DA053941,doi:10.7171/jbt.21-3203-019
2082443601,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.7171/jbt.21-3203-017
2082443591,Mason C,"C E Mason, Christopher E Mason, Christopher Mason, Christopher E Mason",DA053941,doi:10.3390/genes13101914
