,dbgapAccession,coreProjectNum,studyInvestigator,profileId,projectSerialNum,isContactPi,fiscalYear,grantPi,fullName,firstName,middleName,lastName,isPi,isDepositor,name
94,,U18TR003807,,8892513,TR003807,False,2022,Lee LJ,Ly James Lee,Ly,James,Lee,True,False,Lee LJ
95,,U18TR003807,,14417875,TR003807,False,2022,Lee I,Inyoul  Lee,Inyoul,,Lee,True,False,Lee I
96,,R61HD105619,,1861255,HD105619,False,2022,Gennaro ML,Maria Laura Gennaro,Maria,Laura,Gennaro,True,False,Gennaro ML
97,,U18TR003778,,6951767,TR003778,False,2022,Kim Y,Yong  Kim,Yong,,Kim,True,False,Kim Y
98,,U18TR003778,,12081117,TR003778,False,2022,Xie Y,Ya-Hong  Xie,Ya-Hong,,Xie,True,False,Xie Y
99,,U18TR003778,,9493483,TR003778,False,2022,Huang T,Tony Jun  Huang,Tony Jun,,Huang,True,False,Huang T
100,,R61HD105619,,11457621,HD105619,False,2022,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton,True,False,Horton DB
101,,U01HL152410,,15877233,HL152410,False,2021,Turpin WM,William Monroe Turpin,William,Monroe,Turpin,True,False,Turpin WM
102,,U01DC019573,,9451051,DC019573,False,2021,Hayes JE,John Edward Hayes,John,Edward,Hayes,True,False,Hayes JE
103,,U01DC019573,,7680168,DC019573,False,2021,Gerkin RC,Richard C Gerkin,Richard,C,Gerkin,True,False,Gerkin RC
104,,U54HL119145,,8614812,HL119145,False,2021,Parrish JA,John A Parrish,John,A,Parrish,True,False,Parrish JA
105,,U54HL119145,,1858811,HL119145,False,2021,Golan DE,David E Golan,David,E,Golan,True,False,Golan DE
106,,U18TR003807,,10938548,TR003807,False,2021,Wang K,Kai  Wang,Kai,,Wang,True,False,Wang K
107,,R42DE030832,,15312069,DE030832,True,2021,Keady PB,Patricia Bea Keady,Patricia,Bea,Keady,True,False,Keady PB
