dbgapAccession,coreProjectNum,studyInvestigator,profileId,projectSerialNum,isContactPi,fiscalYear,grantPi,fullName,firstName,middleName,lastName,isPi,isDepositor,name
phs002544.v1.p1,U18TR003778,Wong D,6390810,TR003778,True,2022,Wong DT,David T Wong,David,T,Wong,True,False,Wong DT
,U18TR003778,,12081117,TR003778,False,2022,Xie Y,Ya-Hong  Xie,Ya-Hong,,Xie,True,False,Xie Y
,U24LM013755,,9603016,LM013755,False,2023,Xu H,Hua  Xu,Hua,,Xu,True,False,Xu H
phs002685.v1.p1,R44DE030852,Yao X,77861758,DE030852,True,2022,Yao X,Xiaohu  Yao,Xiaohu,,Yao,True,False,Yao X
phs002550.v1.p1,R44DE030841,Young E,9445541,DE030841,True,2022,Young EF,Erik F Young,Erik,F,Young,True,False,Young EF
,R61HD105610,,9502968,HD105610,False,2022,Zhu D,Dongxiao  Zhu,Dongxiao,,Zhu,True,False,Zhu D
phs002572.v1.p1,R42DE030832,Gordon T,,,,,,,,,,False,True,Gordon T
phs002542.v1.p1,U01DA053903,Keck JW,,,,,,,,,,False,True,Keck JW
phs002583.v1.p1,U01HL150852,DeMauro EP,,,,,,,,,,False,True,DeMauro EP
phs002924.v1.p1,U01HL152401,MacKenzie D,,,,,,,,,,False,True,MacKenzie D
phs002522.v1.p1,U01HL152410,Huang J,,,,,,,,,,False,True,Huang J
phs002561.v1.p1,U54HL119145,Shafiee H,,,,,,,,,,False,True,Shafiee H
phs002602.v1.p1,U54HL119145,Unlu S,,,,,,,,,,False,True,Unlu S
