researchInitiative,dbgapAccession,projectNum,contactPi,dataPi,coPi,comments,subProject,contactPiOrcid,dataPiOrcid,coPiOrcid
RADx-rad,phs002631.v1.p1,1U01DC019573-01,"Munger, Steven D","Munger, Steven D","Gerkin, Richard C",,Chemosensory Testing,https://orcid.org/0000-0001-5624-0925,https://orcid.org/0000-0001-5624-0925,https://orcid.org/0000-0002-2940-3378
RADx-rad,phs002631.v1.p1,1U01DC019573-01,"Munger, Steven D","Munger, Steven D","Hayes, John Edward",,Chemosensory Testing,https://orcid.org/0000-0001-5624-0925,https://orcid.org/0000-0001-5624-0925,https://orcid.org/0000-0001-9065-6326
RADx-rad,phs002642.v1.p1,3R01DC016112-04S1,"Travers, Susan P","Travers, Susan P",,,Chemosensory Testing,https://orcid.org/0000-0001-8730-3618,https://orcid.org/0000-0001-8730-3618,
RADx-rad,phs002657.v1.p1,1R01DK130067-01,"Wang, Yuedong","Wang, Yuedong","Guo, Wensheng",,Multimodal Surveillance,https://orcid.org/0000-0001-9202-6723,https://orcid.org/0000-0001-9202-6723,https://orcid.org/0000-0002-8892-4309
RADx-rad,phs002657.v1.p1,1R01DK130067-01,"Wang, Yuedong","Wang, Yuedong","Kotanko, Peter",,Multimodal Surveillance,https://orcid.org/0000-0001-9202-6723,https://orcid.org/0000-0001-9202-6723,https://orcid.org/0000-0003-4373-412X
RADx-rad,phs002679.v1.p1,1U01DA053893-01,"Wenzel, Jeffrey","Wenzel, Jeffrey",,,Wastewater,https://orcid.org/0009-0005-9885-4809,https://orcid.org/0009-0005-9885-4809,
RADx-rad,phs002685.v1.p1,1R44DE030852-01,"Yao, Xiaohu","Yao, Xiaohu",,,Novel Biosensing and VOC,https://orcid.org/0000-0002-2409-289X,https://orcid.org/0000-0002-2409-289X,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Aronica, Mark A",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Castro, Mario",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Comhair, Suzy",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Denlinger, Loren C",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Hoffman, Eric Alfred",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Israel, Elliot",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Khatri, Purveshkumar",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Mauger, David T",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Meyers, Deborah A",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Moore, Wendy C",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Woodruff, Prescott G",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002689.v1.p1,3U01HL146002-04S2,"Levy, Bruce D","Nasr, Lotfi Mahmoud","Wenzel, Sally E",Dr. Nasr is the lead scientist and data PI.,Novel Biosensing and VOC,https://orcid.org/0000-0001-9515-5731,https://orcid.org/0000-0003-0712-8667,
RADx-rad,phs002699.v1.p1,1U01DC019578-01,"Dalton, Pamela Helen","Dalton, Pamela Helen","Parma, Valentina",,Chemosensory Testing,https://orcid.org/0000-0003-2474-2888,https://orcid.org/0000-0003-2474-2888,https://orcid.org/0000-0003-0276-7072
RADx-rad,phs002700.v1.p1,1U01AA029331-01,"Cirrito, John R","Cirrito, John R",,,Automatic Detection & Tracing,https://orcid.org/0000-0002-7196-8786,https://orcid.org/0000-0002-7196-8786,
RADx-rad,phs002702.v1.p1,1R44DE030842-01,"Ly, Jeffrey","Ly, Jeffery",,,Novel Biosensing and VOC,,,
RADx-rad,phs002709.v1.p1,1U18TR003807-01,"Reátegui, Eduardo","Reátegui, Eduardo","Lee, Ly James",,Exosome,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0002-3589-0280
RADx-rad,phs002709.v1.p1,1U18TR003807-01,"Reátegui, Eduardo","Reátegui, Eduardo","Pancholi, Preeti",,Exosome,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0001-9053-02644
RADx-rad,phs002709.v1.p1,1U18TR003807-01,"Reátegui, Eduardo","Reátegui, Eduardo","Wang, Kai",,Exosome,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0002-8271-8205,https://orcid.org/0000-0002-4991-9259
RADx-rad,phs002729.v1.p1,1U01DA053899-01,"Noble, Rachel Todd","Ramsey, J Michael",,,Wastewater,https://orcid.org/0000-0001-9071-8312,https://orcid.org/0000-0002-5948-6813,
